rank,name,vt,ub,bb,fx,total,year
1,Simone Biles,14.533,14.725,13.233,15.0,57.491,2018
2,Mai Murakami,14.566,13.566,13.666,14.0,55.798,2018
3,Morgan Hurd,14.6,14.333,12.933,13.866,55.732,2018
4,Nina Derwael,13.566,15.1,13.733,13.3,55.699,2018
5,Angelina Melnikova,14.166,14.433,13.466,13.633,55.698,2018
6,Mélanie de Jesus dos Santos,14.566,13.5,13.733,13.8,55.599,2018
7,Chen Yile,13.433,14.0,14.166,13.033,54.632,2018
8,Flávia Saraiva,14.533,13.0,13.0,13.833,54.366,2018
9,Luo Huan,13.466,14.4,13.466,13.0,54.332,2018
10,Asuka Teramoto,14.633,13.733,12.9,13.033,54.299,2018
11,Ellie Downie,14.4,13.9,12.7,13.233,54.233,2018
12,Ellie Black,14.4,12.9,13.6,13.233,54.133,2018
13,Irina Alexeeva,13.633,13.866,13.366,12.933,53.798,2018
14,Naomi Visser,13.466,13.8,13.033,13.033,53.332,2018
15,Jade Barbosa,14.5,13.333,12.933,12.1,52.866,2018
16,Lorette Charpy,13.333,12.9,13.0,12.833,52.066,2018
17,Denisa Golgotă,14.3,12.666,11.566,13.333,51.865,2018
18,Axelle Klinckaert,13.7,13.066,12.266,12.8,51.832,2018
19,Kelly Simm,13.9,13.9,11.533,12.466,51.799,2018
20,Zsófia Kovács,13.6,13.133,12.966,12.066,51.765,2018
21,Elisabeth Seitz,13.7,14.6,10.4,12.866,51.566,2018
22,Lara Mori,13.4,12.766,12.233,13.133,51.532,2018
23,Ana Pérez,13.566,12.9,12.366,12.5,51.332,2018
24,Brooklyn Moors,13.3,12.566,11.1,13.366,50.332,2018
