Port,CargoTput,ContainerTput,SO_2,NO_x,PM_10,PM_2.5,HC,CO
Ningbo-Zhoushan,87347,1945,4.75,7.825,0.593,0.544,0.273,0.652
Shanghai,75529,3529,4.39,7.315,0.614,0.565,0.339,0.744
Shenzhen,22308,2404,2.786,4.028,0.51,0.417,0.295,0.519
Guangzhoua,50036,1661,1.851,5.559,0.295,0.257,0.441,1.071
Qingdao,47700,1658,1.782,2.513,0.24,0.221,0.1,0.218
Tianjin,54002,1406,1.611,2.229,0.197,0.181,0.099,0.175
Dalian,42337,1013,1.534,2.212,0.167,0.151,0.086,0.15
Suzhoua,47800,445,1.351,3.176,0.221,0.203,0.192,0.44
Tangshan,50075,111,1.054,1.479,0.107,0.1,0.071,0.09
Fuzhou,14391,224,0.927,1.607,0.142,0.131,0.076,0.154
Rizhao,33502,242,0.914,1.318,0.13,0.12,0.06,0.118
Quanzhou,11201,188,0.887,1.495,0.134,0.124,0.069,0.138
Zhanjiang,20238,58,0.863,1.433,0.133,0.122,0.072,0.134
Qinhuangdao,27403,41,0.741,1.043,0.071,0.066,0.047,0.062
Yingkou,33073,561,0.721,0.993,0.076,0.069,0.04,0.067
Nantong,21599,71,0.706,1.308,0.104,0.096,0.065,0.148
Yantai,31971,236,0.594,0.865,0.079,0.073,0.035,0.077
Lianyungang,21008,501,0.373,0.665,0.059,0.054,0.036,0.073
Xiamen,20504,857,0.372,0.566,0.054,0.05,0.026,0.052
Zhuhai,10795,116,0.253,0.553,0.046,0.042,0.037,0.073
Nanjinga,21001,277,0.206,1.323,0.064,0.059,0.111,0.254
Dandong,13993,167,0.205,0.311,0.029,0.027,0.013,0.028
Huanghua,13746,,0.182,0.24,0.027,0.025,0.013,0.024
Fangchenggang,11501,32,0.117,0.15,0.017,0.015,0.008,0.014
